City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hobart,AU,-42.8794,147.3294,54.05,66,75,1.01,broken clouds
80,Hofn,IS,64.2539,-15.2082,48.4,90,99,7.2,overcast clouds
81,Kumluca,TR,36.3703,30.2869,72.3,64,5,3.98,clear sky
82,Bereda,ES,43.2686,-7.5406,58.57,100,48,3.76,scattered clouds
83,Victoria,HK,22.2855,114.1577,82.38,91,100,1.01,moderate rain
84,Aykhal,RU,66.0,111.5,30.24,96,100,24.54,light snow
85,Kilindoni,TZ,-7.9139,39.6668,77.76,75,1,14.58,clear sky
86,Inta,RU,66.0317,60.1659,36.72,78,86,25.75,overcast clouds
87,Tautira,PF,-17.7333,-149.15,80.62,75,28,2.66,scattered clouds
88,Namibe,AO,-15.1961,12.1522,66.0,76,99,6.13,overcast clouds
89,Anito,PH,12.4497,125.2886,78.35,90,100,14.27,overcast clouds
90,Asau,RO,46.4333,26.4,45.52,46,100,5.79,light rain
91,Acarau,BR,-2.8856,-40.12,82.02,74,11,18.3,few clouds
92,Chuy,UY,-33.6971,-53.4616,55.51,60,88,8.01,overcast clouds
93,Bredasdorp,ZA,-34.5322,20.0403,62.28,77,99,13.22,overcast clouds
94,Tilichiki,RU,60.4667,166.1,24.82,78,24,3.83,few clouds
95,Hilo,US,19.7297,-155.09,78.53,82,75,4.61,heavy intensity rain
96,Lagoa,PT,39.05,-27.9833,68.74,60,0,5.57,clear sky
97,Magadan,RU,59.5667,150.8,30.25,66,27,4.45,scattered clouds
98,Te Anau,NZ,-45.4167,167.7167,46.49,95,100,0.83,overcast clouds
99,Pangnirtung,CA,66.1451,-65.7125,34.43,78,89,2.24,overcast clouds
100,Griffith,US,41.5284,-87.4237,76.08,72,40,3.0,scattered clouds
101,Luganville,VU,-15.5333,167.1667,77.9,85,97,11.05,overcast clouds
102,Maralal,KE,1.0968,36.698,64.15,72,57,3.6,light rain
103,Zhigansk,RU,66.7697,123.3711,24.96,86,100,24.94,overcast clouds
104,Yellowknife,CA,62.456,-114.3525,44.42,82,100,8.99,overcast clouds
105,Ellisras,ZA,-23.6649,27.7443,76.3,43,1,5.12,clear sky
106,Pacific Grove,US,36.6177,-121.9166,69.58,59,1,5.01,clear sky
107,Leningradskiy,RU,69.3833,178.4167,23.09,96,100,2.26,light snow
108,Rehoboth,NA,-23.3167,17.0833,66.92,9,0,8.39,clear sky
109,Sabang,ID,5.8933,95.3214,82.45,78,100,22.39,overcast clouds
110,Bongaree,AU,-27.0797,153.1586,66.47,89,5,3.49,clear sky
111,Tuktoyaktuk,CA,69.4541,-133.0374,31.23,83,86,3.29,overcast clouds
112,Cabo Rojo,PR,18.0866,-67.1457,90.25,69,45,5.99,scattered clouds
113,Sao Filipe,CV,14.8961,-24.4956,80.42,77,6,9.51,clear sky
114,Caravelas,BR,-17.7125,-39.2481,75.09,76,98,11.81,overcast clouds
115,Sur,OM,22.5667,59.5289,83.5,54,1,9.4,clear sky
116,Road Town,VG,18.4167,-64.6167,86.04,70,20,10.36,few clouds
117,Aklavik,CA,68.2191,-135.0107,30.92,74,21,4.36,few clouds
118,Qaqortoq,GL,60.7167,-46.0333,41.5,52,3,4.56,clear sky
119,Guiglo,CI,6.5456,-7.4966,76.03,84,80,2.46,broken clouds
120,Kahului,US,20.8947,-156.47,83.46,78,40,19.57,scattered clouds
121,Rosetta,EG,31.4044,30.4164,72.43,65,0,10.27,clear sky
122,Kedougou,SN,12.5579,-12.1743,83.23,72,70,2.75,broken clouds
123,Nikolskoye,RU,59.7035,30.7861,51.03,60,100,7.16,light rain
124,Mahebourg,MU,-20.4081,57.7,69.26,75,14,9.71,few clouds
125,Bilma,NE,18.6853,12.9164,84.81,16,69,5.53,broken clouds
126,Atuona,PF,-9.8,-139.0333,77.9,72,3,15.17,clear sky
127,Ponta Do Sol,PT,32.6667,-17.1,72.23,66,35,4.61,scattered clouds
