City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Carutapera,BR,83.39,broken clouds,-1.195,-46.02,Lidera
348,Feijo,BR,89.17,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
350,Alta Floresta,BR,90.91,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
351,Muscat,OM,82.42,clear sky,23.6139,58.5922,Mutrah Hotel
357,Nortelandia,BR,89.42,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
361,Avera,US,81.72,broken clouds,33.194,-82.5271,
363,Negombo,LK,80.13,light rain,7.2083,79.8358,Hotel Sunset Beach
372,Primero De Enero,CU,87.66,broken clouds,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
375,Sapulpa,US,93.76,clear sky,35.9987,-96.1142,Super 8 by Wyndham Sapulpa/Tulsa Area
380,Itarema,BR,81.48,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
381,Pedernales,DO,85.01,few clouds,18.0384,-71.744,Hotel Costa Marina
384,Jalingo,NG,80.49,overcast clouds,8.8833,11.3667,Debright Motel
385,Kloulklubed,PW,83.91,light rain,7.0419,134.2556,Storyboard Beach Resort
388,Samarai,PG,80.01,broken clouds,-10.6167,150.6667,Nuli Sapi
392,Camargo,MX,88.88,clear sky,27.6667,-105.1667,Hotel Santa Fe
399,Correntina,BR,98.37,few clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
401,Iracoubo,GF,84.02,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
403,Maracaibo,VE,90.39,few clouds,10.6317,-71.6406,Motel Aladdin
411,Zhuhai,CN,82.11,light intensity shower rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
414,Cabo San Lucas,MX,97.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
417,Kulim,MY,80.49,overcast clouds,5.365,100.5618,Hotel Kulim
428,Cockburn Town,TC,82.54,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
437,Kutum,SD,80.92,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
439,Tagusao,PH,81.45,overcast clouds,9.1924,117.8141,Toledo
445,Vega De Alatorre,MX,81.84,overcast clouds,20.0333,-96.6333,El Polo Norte
452,Minab,IR,85.5,clear sky,27.1467,57.0801,Bam campground
459,Kidal,ML,87.6,clear sky,18.4411,1.4078,
464,Oistins,BB,81.41,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
465,Nicolas Bravo,MX,86.88,overcast clouds,18.45,-88.9167,
470,Tessalit,ML,88.66,clear sky,20.1986,1.0114,
484,Bathsheba,BB,82.4,overcast clouds,13.2167,-59.5167,Atlantis Hotel
490,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
495,Katherine,AU,82.72,few clouds,-14.4667,132.2667,Pine Tree Motel
515,Morant Bay,JM,88.63,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
516,Acacias,CO,80.46,broken clouds,3.987,-73.758,Hotel Iraqúa
517,Itupiranga,BR,91.72,broken clouds,-5.1347,-49.3267,Hotel Panorama
520,Coxim,BR,97.7,overcast clouds,-18.5067,-54.76,Hotel Avenida
521,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
526,Nokha,IN,86.04,clear sky,27.6,73.4167,gu khana
527,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
534,Bogande,BF,90.77,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
535,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
545,Pochutla,MX,90.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
547,Ixtapa,MX,90.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
551,Kudahuvadhoo,MV,83.75,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
552,Shima,CN,84.22,light rain,24.4478,117.8111,龙海钻石大酒店
553,Parnamirim,BR,82.74,scattered clouds,-5.9156,-35.2628,Pousada Joaci
557,Taoudenni,ML,95.29,clear sky,22.6783,-3.9836,
558,Puerto Madero,MX,89.8,scattered clouds,14.7208,-92.4215,Hotel La Central
565,Puerto El Triunfo,SV,94.12,overcast clouds,13.2833,-88.55,Hotel Jardin
573,Buritis,BR,93.2,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
585,Kerrville,US,88.63,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
587,Gombong,ID,80.1,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
591,Uribia,CO,93.69,clear sky,11.7139,-72.266,Hotel Uribia
607,Mahibadhoo,MV,83.48,few clouds,3.7833,72.9667,Omadhoo Inn
609,Kibala,TD,80.55,clear sky,9.1104,18.3463,hotel safari
610,Nueva Loja,EC,90.88,few clouds,0.0847,-76.8828,Limoncocha Great Hotel
617,Chihuahua,MX,85.03,clear sky,28.5,-106.0,
618,Bapatla,IN,81.18,scattered clouds,15.9,80.4667,Kumar Hotel
624,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
627,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
630,Vieux Fort,LC,83.55,scattered clouds,13.7167,-60.95,Cedar Palm Villa
641,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
646,Yarada,IN,82.72,thunderstorm,17.65,83.2667,Jeevan
648,Greenville,US,81.1,scattered clouds,35.6127,-77.3663,the 5th Street Inn
649,Tres Palos,MX,86.61,overcast clouds,18.1833,-101.6167,
654,Los Negros,BO,96.93,overcast clouds,-17.7333,-63.4333,
656,Pedro Carbo,EC,87.28,broken clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
660,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
664,Rock Sound,BS,82.9,overcast clouds,24.9,-76.2,Rock Sound Club
668,Cassilandia,BR,93.67,overcast clouds,-19.1133,-51.7342,Delirius Motel
674,Iquitos,PE,91.44,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
680,Presidente Dutra,BR,91.85,broken clouds,-5.29,-44.49,Pousada Planalto
688,Bara,NG,81.03,overcast clouds,10.3744,10.7288,
691,Badvel,IN,83.39,overcast clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
692,Safaga,EG,82.65,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
701,Iguatu,BR,97.52,few clouds,-6.3594,-39.2986,Havenna Hotel
705,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
711,Sabla,NG,91.62,overcast clouds,12.7525,4.7077,
713,Simiti,CO,84.54,overcast clouds,7.9579,-73.9436,Cancha la original
