City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Barrow,US,2021-10-06 00:21:27,71.2906,-156.7887,23.02,86,90,10.36
68,Natal,BR,2021-10-06 00:22:32,-5.795,-35.2094,79.45,83,0,12.66
69,West Bay,KY,2021-10-06 00:22:33,19.3667,-81.4167,83.07,82,20,1.99
70,Labrea,BR,2021-10-06 00:22:33,-7.2586,-64.7981,74.17,98,94,3.44
71,Atbasar,KZ,2021-10-06 00:22:34,51.8,68.3333,23.95,91,67,6.51
72,Carnarvon,AU,2021-10-06 00:22:34,-24.8667,113.6333,64.47,52,31,19.57
73,Khatanga,RU,2021-10-06 00:22:34,71.9667,102.5,30.09,98,100,6.35
74,Avarua,CK,2021-10-06 00:22:35,-21.2078,-159.775,78.85,69,20,17.27
75,Along,IN,2021-10-06 00:22:35,28.1667,94.7667,67.42,94,15,0.65
76,Sungaipenuh,ID,2021-10-06 00:22:35,-2.0833,101.3833,65.88,91,99,0.54
77,Shache,CN,2021-10-06 00:22:36,38.4167,77.2406,49.93,51,1,2.24
78,San Esteban,HN,2021-10-06 00:22:36,15.2,-85.75,85.1,95,95,3.56
79,Iqaluit,CA,2021-10-06 00:22:37,63.7506,-68.5145,38.93,80,90,18.01
80,Upernavik,GL,2021-10-06 00:21:26,72.7868,-56.1549,29.73,52,100,5.46
81,Calvinia,ZA,2021-10-06 00:22:37,-31.4707,19.776,57.09,22,41,7.85
82,Quatre Cocos,MU,2021-10-06 00:22:38,-20.2078,57.7625,70.09,80,40,5.66
83,Ribeira Grande,PT,2021-10-06 00:22:38,38.5167,-28.7,72.59,90,100,14.12
84,Tahta,EG,2021-10-06 00:22:39,26.7693,31.5021,71.38,46,0,12.41
85,Betioky,MG,2021-10-06 00:22:39,-23.7167,44.3833,63.88,74,2,8.97
86,Garissa,KE,2021-10-06 00:22:39,-0.4536,39.6401,73.35,79,57,13.91
87,Grafton,US,2021-10-06 00:22:40,42.207,-71.6856,57.42,86,90,3.44
88,Polunochnoye,RU,2021-10-06 00:22:41,60.8697,60.4153,30.87,93,98,4.25
89,Cherskiy,RU,2021-10-06 00:21:50,68.75,161.3,15.75,94,99,4.76
90,Inuvik,CA,2021-10-06 00:22:41,68.3499,-133.7218,34.66,80,75,4.61
91,Tiznit,MA,2021-10-06 00:22:42,29.5833,-9.5,74.39,35,77,1.59
92,Talcahuano,CL,2021-10-06 00:22:42,-36.7167,-73.1167,53.28,66,0,11.5
93,Vardo,NO,2021-10-06 00:22:42,70.3705,31.1107,50.22,81,99,27.72
94,Thompson,CA,2021-10-06 00:21:36,55.7435,-97.8558,51.96,35,75,8.05
95,Panaba,MX,2021-10-06 00:22:44,21.2833,-88.2667,77.56,86,89,6.6
96,Nome,US,2021-10-06 00:22:44,64.5011,-165.4064,44.67,93,90,13.8
97,Nikolskoye,RU,2021-10-06 00:21:44,59.7035,30.7861,48.87,77,91,11.36
98,Saint-Philippe,RE,2021-10-06 00:22:45,-21.3585,55.7679,69.39,82,24,5.46
99,Berlevag,NO,2021-10-06 00:22:45,70.8578,29.0864,49.44,80,68,23.69
100,Qaanaaq,GL,2021-10-06 00:22:46,77.484,-69.3632,25.93,81,100,5.82
101,Iskateley,RU,2021-10-06 00:22:46,67.6803,53.1512,40.87,89,0,18.63
102,Husavik,IS,2021-10-06 00:22:47,66.0449,-17.3389,37.31,83,100,5.06
103,Atar,MR,2021-10-06 00:22:47,20.5169,-13.0499,88.45,19,0,9.57
